MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,GS,74GS2035,GOI LOAN 7.40% 2035,       106.00,       104.00,       111.30,       104.00,       111.30,                    12848.60,122,N, ,2,       111.30,        99.25
N,GS,772GS2055,GOI LOAN 7.72% 2055,       117.00,       117.00,       118.00,       116.00,       116.00,                  1161256.40,9959,N, ,12,       120.00,        95.05
N,MF,ABSLRIF6RG,BIRLASLAMC - ABSLRIF6RG,         6.90,         7.01,         7.09,         7.01,         7.09,                    50384.61,7129,N, ,3,         7.83,         4.05
N,MF,BSLRIFS4RG,ADITYABIRLA - BSLRIFS4RG,         8.92,         8.20,         8.20,         8.20,         8.20,                    41000.00,5000,N, ,1,         9.00,         6.10
N,MF,EMOFSR1RDP,EDELAMC - EMOFSR1RDP,        11.20,        11.15,        11.20,        11.15,        11.15,                   155479.00,13900,N, ,6,        11.50,         6.00
N,MF,EMOFSR1RGG,EDELAMC - EMOFSR1RGG,        11.19,        11.02,        11.40,        10.11,        11.26,                  1968308.74,177265,N, ,88,        11.82,         6.45
N,MF,HHOF1140RD,HDFCAMC - HHOF1140RD,         8.80,         9.00,         9.00,         9.00,         9.00,                     9000.00,1000,N, ,1,         9.15,         5.46
N,MF,HHOF1140RG,HDFCAMC - HHOF1140RG,         8.93,         8.95,         9.14,         8.95,         9.12,                   374034.26,41439,N, ,14,         9.14,         4.80
N,MF,M14RG,SUNDARMAMC - M14RG,         7.29,         6.68,         6.84,         6.68,         6.84,                    30619.40,4535,N, ,2,         7.88,         4.00
N,MF,M15RD,SUNDARMAMC - M15RD,         6.39,         6.88,         6.88,         6.00,         6.00,                     5166.00,751,N, ,2,         6.95,         3.40
N,MF,M15RG,SUNDARMAMC - M15RG,         6.00,         6.01,         6.01,         6.01,         6.01,                        6.01,1,N, ,1,         7.55,         3.71
N,MF,M17RG,SUNDARMAMC - M17RG,         5.94,         5.55,         5.65,         5.55,         5.60,                   196535.00,35000,N, ,5,         6.47,         3.00
N,N1,ERFLNCDI,SEC RED NCD 8.42% SR. I,       980.00,       980.00,       990.00,       980.00,       990.00,                    84100.00,85,N, ,3,      1134.00,       701.05
N,N1,IRFC,BOND 8.00% PA TAX FREE S1,      1061.69,      1064.95,      1064.95,      1060.40,      1060.40,                  2659747.80,2508,N, ,13,      1194.00,      1025.00
N,N1,M&MFIN,8.72% UNSECURED NCD,      1045.50,      1050.05,      1050.05,      1050.05,      1050.05,                     1050.05,1,N, ,1,      1370.80,       850.00
N,N1,NHAI,BOND 8.20% PA TAX FREE S1,      1063.17,      1063.10,      1064.00,      1060.00,      1060.16,                 11759655.85,11086,N, ,44,      1178.00,      1045.00
N,N1,RECLTD,TAXFREE SEC NCD TR1 S1,      1060.00,      1060.00,      1060.00,      1060.00,      1060.00,                   212000.00,200,N, ,3,      1151.00,      1010.00
N,N2,BRITANNIA,8.00% SEC RED NCD,        31.99,        31.99,        32.00,        31.95,        31.97,                    82641.26,2585,N, ,65,        36.00,        29.00
N,N2,DHANILOANS,DHANI LOANS & SERV LTD,      1170.00,      1175.00,      1175.00,      1161.20,      1170.00,                    92455.00,79,N, ,3,      1180.65,       732.00
N,N2,ERFLNCDI,SEC RED NCD 8.75% SR. II,      1059.99,      1055.00,      1058.99,      1050.00,      1050.27,                  1886181.55,1792,N, ,7,      1059.99,       611.05
N,N2,HUDCO,8.20 NCD05MAR27 FV 1000,      1290.00,      1293.10,      1293.10,      1290.01,      1290.50,                   754995.50,585,N, ,8,      1369.90,      1051.60
N,N2,IRFC,BOND 8.10% PA TAX FREE S2,      1239.99,      1243.99,      1258.10,      1223.20,      1258.10,                   651307.39,521,N, ,14,      1298.90,      1132.00
N,N2,M&MFIN,9.00% UNSECURED NCD,      1118.80,      1111.00,      1125.00,      1111.00,      1125.00,                   938557.49,837,N, ,9,      1199.00,       845.00
N,N2,NABARD,7.64% TAX FREE TRI SRIIB,      1292.00,      1292.50,      1298.50,      1292.50,      1298.50,                    33701.00,26,N, ,4,      1298.50,      1100.00
N,N2,NHAI,BOND 8.30% PA TAX FREE S2,      1254.85,      1251.00,      1255.00,      1251.00,      1255.00,                   676900.00,540,N, ,29,      1300.00,      1029.85
N,N2,RECLTD,TAXFREE SEC NCD TR1 S2,      1179.99,      1173.00,      1173.00,      1173.00,      1173.00,                   234600.00,200,N, ,1,      1254.90,      1043.10
N,N2,TATACAPHSG,SEC RED NCD 8.10% SR.I,      1096.00,      1096.00,      1096.00,      1093.05,      1093.05,                    12026.50,11,N, ,2,      1169.00,       850.40
N,N3,DHANILOANS,DHANI LOANS & SERV LTD,       987.95,       991.90,       995.00,       925.00,       925.00,                   587169.00,600,N, ,13,       999.00,       705.00
N,N3,HUDCO,8.10 NCD 05MAR22 FV 1000,      1120.54,      1120.54,      1124.00,      1120.00,      1120.15,                  3854328.70,3441,N, ,40,      1277.50,      1010.00
N,N4,DHANILOANS,DHANI LOANS & SERV LTD,      1019.99,       991.11,      1015.00,       991.11,      1014.90,                    60682.89,60,N, ,5,      1022.00,       701.00
N,N4,DHFL,SEC RED NCD 8.88% SR. 2B,       350.00,       350.00,       350.00,       339.99,       345.00,                     8604.94,25,N, ,4,       370.00,       158.25
N,N4,ERFLNCDI,SEC RED NCD 9.00% SR. IV,       997.00,       995.00,       995.00,       995.00,       995.00,                    24875.00,25,N, ,1,      1050.00,       685.00
N,N4,HUDCO,7.34 NCD 16FEB23 TR1 SR1,      1126.70,      1107.10,      1116.10,      1107.10,      1116.10,                    25643.30,23,N, ,2,      1181.50,      1000.02
N,N4,IIFCL,8.91% TAX FREE NCD,      1484.20,      1485.05,      1489.00,      1484.00,      1484.00,                  1061909.20,715,N, ,26,      1494.00,      1240.00
N,N4,IIFL,SEC RED NCD 9.75 % SR.III,      1033.50,      1050.00,      1050.00,      1026.55,      1035.00,                  2235790.95,2155,N, ,22,      1057.80,       980.00
N,N4,PFC,8.20% TAX FREE NCD,      1062.00,      1062.00,      1062.00,      1059.50,      1060.23,                  1522488.75,1435,N, ,20,      1148.99,      1015.00
N,N4,RHFL,SEC RED NCD 9.05% SR. II,       165.00,       166.05,       198.00,       166.05,       198.00,                    66972.06,341,N,XI,14,       517.20,       112.00
N,N4,TATACAPHSG,SEC RED NCD 8.01% SR.II,      1082.00,      1087.00,      1090.00,      1080.00,      1090.00,                   741688.70,685,N, ,9,      1225.00,       925.30
N,N5,DHANILOANS,DHANI LOANS & SERV LTD,      1089.00,      1080.00,      1098.00,      1080.00,      1098.00,                   141552.00,129,N, ,9,      1120.00,       720.08
N,N5,EHFLNCD,SEC RED NCD 9.57% SR. V,       971.00,       970.00,       970.00,       965.00,       965.00,                    29050.00,30,N, ,3,      1098.99,       702.00
N,N5,ERFLNCDI,SEC RED NCD 8.88% SR. V,       870.09,       873.00,       873.00,       872.00,       872.77,                   116081.30,133,N, ,8,       900.75,       650.10
N,N5,HUDCO,7.51 NCD 16FEB28 TR1 SR2,      1257.00,      1257.00,      1257.00,      1257.00,      1257.00,                   377100.00,300,N, ,10,      1269.00,       905.15
N,N5,IIFL,SEC RED NCD 10.20 % SR.IV,      1105.00,      1105.00,      1105.10,      1100.00,      1105.10,                   187458.00,170,N, ,3,      1120.00,       831.00
N,N5,IREDA,IREDA 8.80NCDTR I SR II B,      1345.00,      1340.02,      1340.02,      1340.02,      1340.02,                    53600.80,40,N, ,1,      1449.00,      1132.01
N,N5,L&TINFRA,BOND 8.20% PA S1,      1060.00,      1058.72,      1066.99,      1058.72,      1065.00,                   422118.65,397,N, ,16,      1149.00,       942.00
N,N5,RECLTD,BOND 8.01% TAX FREE S1A,      1077.65,      1288.00,      1288.00,      1079.20,      1099.99,                    16635.14,14,N, ,6,      1301.00,      1042.60
N,N5,SBIN,BOND 9.95% PA RET. S4,     10977.14,     10956.00,     10989.95,     10956.00,     10961.06,                  5912561.96,539,N, ,73,     12299.00,     10200.00
N,N6,DHFL,SEC RED NCD 8.93% SR. 3B,       348.00,       317.85,       340.00,       317.85,       340.00,                     1929.25,6,N, ,2,       390.00,       166.60
N,N6,EHFLNCD,SEC RED NCD 10% SR. VI,       909.00,       909.00,       909.00,       908.95,       908.95,                   317240.00,349,N, ,12,       948.00,       562.00
N,N6,ERFLNCDI,SEC RED NCD 9.25% SR. VI,       860.15,       897.80,       899.00,       897.80,       899.00,                   117653.00,131,N, ,4,       948.40,       587.01
N,N6,IBUCCREDIT,SERENCD8.90%SRIIICIII&IV,       964.00,       970.00,       970.00,       942.00,       956.68,                   502661.45,525,N, ,18,      1010.90,       701.05
N,N6,IBULHSGFIN,SEC RED NCD 8.90% SR. III,       970.00,       975.00,       979.98,       975.00,       979.98,                    38198.32,39,N, ,7,      1019.70,       685.05
N,N6,IDFCFIRSTB,BOND 0% 2021 TR-2 SR-II,     10635.35,     10643.05,     10643.05,     10643.05,     10643.05,                   127716.60,12,N, ,3,     10643.05,      8300.00
N,N6,IIFL,UNSEC RED NCD 10.0% SR. V,      1010.00,      1006.00,      1039.00,      1005.00,      1035.00,                   390993.68,385,N, ,17,      1085.00,       930.00
N,N6,L&TINFRA,BOND 8.30% PA CUM. S2,      2177.00,      2177.00,      2177.00,      2166.50,      2174.01,                  1024655.45,471,N, ,25,      2200.00,      1600.10
N,N6,NHAI,8.75% TAX FREE TR I S IIB,      1358.98,      1354.12,      1362.46,      1354.11,      1359.89,                  2912362.08,2146,N, ,19,      1364.00,      1151.01
N,N6,NHBTF2014,BOND 9.01%PA TF TR-I S 3B,      7600.00,      7645.00,      7645.00,      7645.00,      7645.00,                    84095.00,11,N, ,2,      7645.00,      6300.00
N,N6,NHPC,8.92% SEC RED BOND S3B,      1466.01,      1475.00,      1475.00,      1460.00,      1470.00,                  1476599.99,1008,N, ,10,      1475.00,      1240.00
N,N6,NTPC,8.91%S-R-NCD SERIES 3B,      1436.45,      1435.00,      1435.00,      1435.00,      1435.00,                   574000.00,400,N, ,6,      1520.01,      1242.01
N,N6,RHFL,SEC RED NCD 9.15% SR III,       195.00,       195.00,       195.00,       195.00,       195.00,                      975.00,5,N,XI,1,       350.00,       101.50
N,N6,SBIN,BOND 9.45% PA NON RET. S4,     10900.00,     10900.00,     10925.00,     10900.00,     10925.00,                   240125.00,22,N, ,6,     12850.00,     10060.05
N,N6,TATACAPHSG,SEC RED NCD 8.30% SR.III,      1110.00,      1100.01,      1119.99,      1100.01,      1115.00,                   682627.55,614,N, ,23,      1300.00,       800.00
N,N7,DHANILOANS,DHANI LOANS & SERV LTD,       978.99,       950.00,       950.00,       950.00,       950.00,                    20900.00,22,N, ,1,      1139.00,       676.00
N,N7,IBUCCREDIT,SERENCD8.66%SRIVCIII&IV,       884.35,       884.50,       884.50,       884.50,       884.50,                    61915.00,70,N, ,1,       974.98,       675.00
N,N7,NTPC,8.49% SEC NON-CUM RED NCD,        14.55,        14.50,        14.58,        14.50,        14.56,                  1046809.21,71968,N, ,154,        14.94,        11.40
N,N8,HUDCO,7.64% TAX FREETRI SR2B,      1305.44,      1300.00,      1306.00,      1300.00,      1305.99,                   697207.20,535,N, ,15,      1315.00,      1113.05
N,N8,L&TFINANCE,SE RE NCD 9.1% SR.I OP II,      1108.00,      1109.00,      1109.00,      1109.00,      1109.00,                     4436.00,4,N, ,1,      1255.01,       901.00
N,N8,PFC,8.92% TAX FREE NCD,      1424.98,      1421.00,      1421.00,      1413.00,      1420.44,                  2931690.40,2067,N, ,35,      1520.00,      1242.00
N,N8,TATACAPHSG,SEC RED NCD 8.10% SR.IV,      1100.00,      1100.00,      1100.00,      1100.00,      1100.00,                     1100.00,1,N, ,1,      1287.00,       950.00
N,N9,HUDCO,7.69% TAX FREETRII SR2B,      1274.99,      1254.00,      1255.00,      1252.00,      1252.00,                   501150.00,400,N, ,8,      1400.00,      1080.00
N,N9,IDFCFIRSTB,BOND 9% 2021 TR-1 SR-I,      5430.00,      5300.00,      5310.00,      5090.00,      5090.00,                   110310.00,21,N,XI,5,      5554.95,      4670.01
N,N9,IIFL,SEC RED NCD 9.50 % SR. II,      1026.00,      1002.56,      1019.90,      1000.00,      1006.84,                   852610.65,850,N, ,22,      1057.00,       845.60
N,N9,IRFC,BOND 8.48% PA TF TI-SIB,      1275.00,      1300.00,      1300.00,      1300.00,      1300.00,                     5200.00,4,N, ,2,      1300.00,      1075.21
N,N9,NHAI,TAX FREE7.35% SR.IIA,      1272.00,      1470.00,      1470.00,      1470.00,      1470.00,                     1470.00,1,N, ,1,      1470.00,      1110.00
N,N9,RECLTD,BOND 8.71% TAX FREE S2B,      1289.00,      1289.00,      1289.00,      1285.00,      1285.00,                  1394595.00,1085,N, ,18,      1363.75,      1100.00
N,N9,SREIBNPNCD,10.25% SRNCD SR IX,       860.00,       890.00,       890.00,       890.00,       890.00,                      890.00,1,N, ,1,      1078.00,       678.00
N,NA,DHFL,SEC RED NCD 9.25% SR. 5B,       360.00,       420.00,       420.00,       360.00,       379.99,                   150424.90,392,N, ,14,       420.00,       180.00
N,NA,IBULHSGFIN,SEC RED NCD 9.0% SR. VI,       792.00,       793.99,       799.90,       793.99,       799.90,                    87634.50,110,N, ,8,       868.00,       451.00
N,NA,IDFCFIRSTB,BOND 0% 2021 TR-1 SR-II,     10930.00,     10930.01,     10942.00,     10930.01,     10941.50,                   174972.08,16,N, ,6,     10942.00,      7900.00
N,NA,IRFC,BOND 8.65% PA TF TI-SIIB,      1354.79,      1354.59,      1360.98,      1354.59,      1357.74,                   413747.25,305,N, ,7,      1530.00,      1075.20
N,NA,NHAI,TAX FREE7.60% SR.IIB,      1286.65,      1286.42,      1288.00,      1281.15,      1287.62,                 47777143.44,37184,N, ,79,      1301.00,      1103.00
N,NA,RECLTD,BOND 8.62% TAX FREE S3B,      1407.00,      1390.00,      1390.00,      1390.00,      1390.00,                   139000.00,100,N, ,2,      1559.00,      1250.00
N,NA,TATACAPHSG,SEC RED NCD 8.40% SR.V,      1138.16,      1139.50,      1139.50,      1130.00,      1130.00,                    11347.50,10,N, ,2,      1233.00,       950.00
N,NB,HUDCO,8.51% TAX FREETRI SR2A,      1268.00,      1268.00,      1268.00,      1268.00,      1268.00,                  6974000.00,5500,N, ,1,      1480.00,      1171.00
N,NB,IDFCFIRSTB,BOND 8.70% 2022 TR-2 SR-I,      5345.90,      5345.90,      5350.00,      5345.90,      5350.00,                    90933.60,17,N, ,12,      5443.95,      4285.00
N,NB,NTPC,TFB 7.36% 2025 SR. 1B,      1120.12,      1140.00,      1140.00,      1140.00,      1140.00,                   114000.00,100,N, ,1,      1219.86,      1063.07
N,NB,TCFSL,SERENCD8.80%SRICIII&IV,      1033.76,      1031.50,      1036.00,      1030.53,      1035.20,                   937965.44,907,N, ,17,      1108.00,       867.40
N,NC,DHFL,SEC RED NCD 9.30% SR. 6B,       368.41,       379.75,       379.75,       370.00,       370.00,                    40235.00,106,N, ,3,       379.75,       117.00
N,NC,IDFCFIRSTB,BOND 0% 2022 TR-2 SR-II,     10426.00,     10430.00,     10440.00,     10430.00,     10430.01,                   125200.04,12,N, ,3,     10765.05,      8500.00
